batch,order,job_name,accession,construct,range,full_len,model_len,n_subst,group,organism
1,0,pif1_P07271,P07271,full,1-859,859,859,0,ascomycota,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
1,1,pif1_P38766,P38766,full,1-723,723,723,0,ascomycota,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
1,2,pif1_Q9UUA2,Q9UUA2,full,1-805,805,805,0,ascomycota,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
1,3,pif1_Q9H611,Q9H611,full,1-641,641,641,0,human,Homo sapiens (Human)
1,4,pif1_A0A010SLY8,A0A010SLY8,full,1-921,921,921,0,ascomycota,Colletotrichum fioriniae PJ7
1,5,pif1_A0A060SCN9,A0A060SCN9,full,1-533,533,533,0,basidiomycota,Pycnoporus cinnabarinus (Cinnabar-red polypore) (Trametes cinnabarina)
1,6,pif1_A0A0L0HTH8,A0A0L0HTH8,full,1-642,642,642,0,chytridiomycota,Spizellomyces punctatus (strain DAOM BR117)
1,7,pif1_A0A015KD19,A0A015KD19,full,1-492,492,492,0,mucoromycota,Rhizophagus irregularis (strain DAOM 197198w) (Glomus intraradices)
1,8,pif1_A0A022Y865,A0A022Y865,full,1-780,780,780,0,ascomycota,Trichophyton soudanense CBS 452.61
1,9,pif1_A0A060SM94,A0A060SM94,full,1-612,612,612,0,basidiomycota,Pycnoporus cinnabarinus (Cinnabar-red polypore) (Trametes cinnabarina)
1,10,pif1_A0A507E7A0,A0A507E7A0,full,1-674,674,674,0,chytridiomycota,Powellomyces hirtus
1,11,pif1_A0A015N2M8,A0A015N2M8,full,1-656,656,656,0,mucoromycota,Rhizophagus irregularis (strain DAOM 197198w) (Glomus intraradices)
1,12,pif1_A0A066XBE3,A0A066XBE3,full,1-844,844,844,0,ascomycota,Colletotrichum sublineola (Sorghum anthracnose fungus)
1,13,pif1_A0A067Q5M5,A0A067Q5M5,full,1-644,644,644,0,basidiomycota,Jaapia argillacea MUCL 33604
1,14,pif1_A0A507FMG7,A0A507FMG7,full,1-672,672,672,0,chytridiomycota,Chytriomyces confervae
1,15,pif1_A0A0B7N3L9,A0A0B7N3L9,full,1-741,741,741,0,mucoromycota,Parasitella parasitica
1,16,pif1_A0A084APH7,A0A084APH7,full,1-805,805,805,0,ascomycota,Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)
1,17,pif1_A0A074S1G0,A0A074S1G0,full,1-839,839,839,0,basidiomycota,Rhizoctonia solani 123E
