Entry	Entry Name	Protein names	Gene Names	Organism	Organism (ID)	Length	Reviewed	Annotation	AlphaFoldDB	Taxonomic lineage	subphylum	class	order	family	genus
P07271	PIF1_YEAST	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1) (Petite integration frequency protein 1) (Telomere stability protein 1)	PIF1 TST1 YML061C YM9958.01C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	859	reviewed	5.0	P07271;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Saccharomycetes (class), Saccharomycetales (order), Saccharomycetaceae (family), Saccharomyces (genus), Saccharomyces cerevisiae (species)	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
P38766	RRM3_YEAST	ATP-dependent DNA helicase RRM3 (EC 5.6.2.3) (DNA 5'-3' helicase RRM3) (Regulation of Ty1 transposition protein 104) (rDNA recombination mutation protein 3)	RRM3 RTT104 YHR031C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	723	reviewed	5.0	P38766;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Saccharomycetes (class), Saccharomycetales (order), Saccharomycetaceae (family), Saccharomyces (genus), Saccharomyces cerevisiae (species)	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
Q59RQ0	PIF1_CANAL	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	PIF1 CAALFM_CR07360WA CaO19.13552 CaO19.6133	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	906	reviewed	5.0	Q59RQ0;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Pichiomycetes (class), Serinales (order), Debaryomycetaceae (family), Candida/Lodderomyces clade (clade), Candida (genus), Candida albicans (species)	Saccharomycotina	Pichiomycetes	Serinales	Debaryomycetaceae	Candida
Q9UUA2	PIF1_SCHPO	ATP-dependent DNA helicase pfh1 (EC 5.6.2.3) (DNA 5'-3' helicase pfh1) (DNA repair and recombination helicase pfh1) (PIF1 helicase homolog) (RRM3/PIF1 homolog 1)	pfh1 pif1 rph1 SPBC887.14c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	284812	805	reviewed	5.0	Q9UUA2;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), Taphrinomycotina (subphylum), Schizosaccharomycetes (class), Schizosaccharomycetales (order), Schizosaccharomycetaceae (family), Schizosaccharomyces (genus), Schizosaccharomyces pombe (species)	Taphrinomycotina	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces
Q5AXT5	PIF1_EMENI	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	pif1 AN6895	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	227321	745	reviewed	4.0	Q5AXT5;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), Eurotiomycetes (class), Eurotiomycetidae (subclass), Eurotiales (order), Aspergillaceae (family), Aspergillus (genus), Aspergillus subgen. Nidulantes (subgenus), Emericella nidulans (species)	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
A0A2P7YPG7	A0A2P7YPG7_9ASCO	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	PIF1 C7M61_003103	Candidozyma pseudohaemuli	418784	787	unreviewed	5.0	A0A2P7YPG7;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Pichiomycetes (class), Serinales (order), Metschnikowiaceae (family), Candidozyma (genus)	Saccharomycotina	Pichiomycetes	Serinales	Metschnikowiaceae	Candidozyma
C4R0P2	C4R0P2_KOMPG	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	PIF1 PAS_chr2-1_0439	Komagataella phaffii (strain GS115 / ATCC 20864) (Yeast) (Pichia pastoris)	644223	797	unreviewed	5.0	C4R0P2;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Pichiomycetes (class), Pichiales (order), Pichiaceae (family), Komagataella (genus), Komagataella phaffii (species)	Saccharomycotina	Pichiomycetes	Pichiales	Pichiaceae	Komagataella
G0V5V7	G0V5V7_NAUCA	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	NCAS0A02870 PIF1 NCAS_0A02870	Naumovozyma castellii (Yeast) (Saccharomyces castellii)	27288	870	unreviewed	5.0	G0V5V7;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Saccharomycetes (class), Saccharomycetales (order), Saccharomycetaceae (family), Naumovozyma (genus)	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma
G8BQC5	G8BQC5_TETPH	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	TPHA0B00500 PIF1 TPHA_0B00500	Tetrapisispora phaffii (strain ATCC 24235 / CBS 4417 / NBRC 1672 / NRRL Y-8282 / UCD 70-5) (Yeast) (Fabospora phaffii)	1071381	948	unreviewed	5.0	G8BQC5;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Saccharomycetes (class), Saccharomycetales (order), Saccharomycetaceae (family), Tetrapisispora (genus), Tetrapisispora phaffii (species)	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Tetrapisispora
G8BK92	G8BK92_CANPC	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	PIF1 CPAR2_701690	Candida parapsilosis (strain CDC 317 / ATCC MYA-4646) (Yeast) (Monilia parapsilosis)	578454	797	unreviewed	5.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Pichiomycetes (class), Serinales (order), Debaryomycetaceae (family), Candida/Lodderomyces clade (clade), Candida (genus), Candida parapsilosis (species)	Saccharomycotina	Pichiomycetes	Serinales	Debaryomycetaceae	Candida
