Entry	Entry Name	Protein names	Gene Names	Organism	Organism (ID)	Length	Reviewed	Annotation	AlphaFoldDB	Taxonomic lineage	subphylum	class	order	family	genus	domain	group	anchor
O94762	RECQ5_HUMAN	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ5) (RecQ protein-like 5)	RECQL5 RECQ5	Homo sapiens (Human)	9606	991	reviewed	5.0	O94762;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Homo (genus)	Craniata	Mammalia	Primates	Hominidae	Homo	euk	euk	RECQL5
O94761	RECQ4_HUMAN	ATP-dependent DNA helicase Q4 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ4) (DNA helicase, RecQ-like type 4) (RecQ4) (RTS) (RecQ protein-like 4)	RECQL4 RECQ4	Homo sapiens (Human)	9606	1208	reviewed	5.0	O94761;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Homo (genus)	Craniata	Mammalia	Primates	Hominidae	Homo	euk	euk	RECQL4
P46063	RECQ1_HUMAN	ATP-dependent DNA helicase Q1 (EC 5.6.2.4) (DNA 3'-5' helicase Q1) (DNA helicase, RecQ-like type 1) (RecQ1) (DNA-dependent ATPase Q1) (RecQ protein-like 1)	RECQL RECQ1 RECQL1	Homo sapiens (Human)	9606	649	reviewed	5.0	P46063;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Homo (genus)	Craniata	Mammalia	Primates	Hominidae	Homo	euk	euk	RECQL1
Q14191	WRN_HUMAN	Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN (DNA helicase, RecQ-like type 3) (RecQ protein-like 2) (Werner syndrome protein) [Includes: 3'-5' exonuclease (EC 3.1.-.-); ATP-dependent helicase (EC 5.6.2.4) (DNA 3'-5' helicase WRN)]	WRN RECQ3 RECQL2	Homo sapiens (Human)	9606	1432	reviewed	5.0	Q14191;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Homo (genus)	Craniata	Mammalia	Primates	Hominidae	Homo	euk	euk	WRN
P54132	BLM_HUMAN	RecQ-like DNA helicase BLM (EC 5.6.2.4) (Bloom syndrome protein) (DNA 3'-5' helicase BLM) (DNA helicase, RecQ-like type 2) (RecQ2) (RecQ protein-like 3)	BLM RECQ2 RECQL3	Homo sapiens (Human)	9606	1417	reviewed	5.0	P54132;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Euarchontoglires (superorder), Primates (order), Haplorrhini (suborder), Simiiformes (infraorder), Catarrhini (parvorder), Hominoidea (superfamily), Hominidae (family), Homininae (subfamily), Homo (genus)	Craniata	Mammalia	Primates	Hominidae	Homo	euk	euk	BLM
P35187	SGS1_YEAST	ATP-dependent helicase SGS1 (EC 5.6.2.4) (DNA 3'-5' helicase Sgs1) (Helicase TPS1)	SGS1 TPS1 YMR190C YM9646.02C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	1447	reviewed	5.0	P35187;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Saccharomycetes (class), Saccharomycetales (order), Saccharomycetaceae (family), Saccharomyces (genus), Saccharomyces cerevisiae (species)	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	euk	euk	Sgs1
P15043	RECQ_ECOLI	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	recQ b3822 JW5855	Escherichia coli (strain K12)	83333	609	reviewed	5.0	P15043;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)		Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	bac	bac	EcRecQ
A0AAW4PG16	A0AAW4PG16_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	EGH23_17505	Haloarcula nitratireducens	2487749	926	unreviewed	2.0	A0AAW4PG16;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloarculaceae (family), Haloarcula (genus)		Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	arc	arc	
A0A0F7PES4	A0A0F7PES4_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	HLASF_3074	Halanaeroarchaeum sulfurireducens	1604004	677	unreviewed	2.0	A0A0F7PES4;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halobacteriaceae (family), Halanaeroarchaeum (genus)		Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	arc	arc	
A0A6B9F6Y4	A0A6B9F6Y4_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	EI982_16730	Haloplanus rallus	1816183	870	unreviewed	2.0	A0A6B9F6Y4;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Haloferacaceae (family), Haloplanus (genus)		Halobacteria	Halobacteriales	Haloferacaceae	Haloplanus	arc	arc	
A0A1H0A7Z0	A0A1H0A7Z0_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	SAMN05192554_12526	Haloarchaeobius iranensis	996166	694	unreviewed	2.0	A0A1H0A7Z0;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Halobacteria (class), Halobacteriales (order), Halorubellaceae (family), Haloarchaeobius (genus)		Halobacteria	Halobacteriales	Halorubellaceae	Haloarchaeobius	arc	arc	
A0A166BQL2	A0A166BQL2_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	recQ MBFIL_09800	Methanobrevibacter filiformis	55758	857	unreviewed	3.0	A0A166BQL2;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Methanomada group (clade), Methanobacteria (class), Methanobacteriales (order), Methanobacteriaceae (family), Methanobrevibacter (genus)		Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	arc	arc	
A0ABD4TGN3	A0ABD4TGN3_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	FTO68_00310	Methanocalculus taiwanensis	106207	507	unreviewed	2.0	A0ABD4TGN3;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanomicrobiales (order), Methanocalculaceae (family), Methanocalculus (genus)		Methanomicrobia	Methanomicrobiales	Methanocalculaceae	Methanocalculus	arc	arc	
