tip_label	accession	taxid	organism	group	role	gene	core_from	core_to	full_len	core_len
A0A0C7N4Y2_Lachancea	A0A0C7N4Y2	1245769	Lachancea lanzarotensis	ascomycota	ingroup	PIF1	264	470	864	207
A0A0W4ZHZ4_Pneumocystis	A0A0W4ZHZ4	1408658	Pneumocystis carinii (strain B80) (Rat pneumocystis pneumonia agent) (Pneumocystis carinii f. sp. carinii)	ascomycota	ingroup	PIF1	287	493	787	207
A0A0W4ZNJ0_Pneumocystis	A0A0W4ZNJ0	1408657	Pneumocystis jirovecii (strain RU7) (Human pneumocystis pneumonia agent)	ascomycota	ingroup	PIF1	321	528	811	208
A0A1G4K4H6_Lachancea	A0A1G4K4H6	1072105	Lachancea dasiensis	ascomycota	ingroup	PIF1	286	492	886	207
A0A2P7YPG7_Candidozyma	A0A2P7YPG7	418784	Candidozyma pseudohaemuli	ascomycota	ingroup	PIF1	209	424	787	216
A5DHA1_Meyerozyma	A5DHA1	294746	Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324) (Yeast) (Candida guilliermondii)	ascomycota	ingroup	PIF1	167	377	722	211
B6K513_Schizosaccharomyces	B6K513	402676	Schizosaccharomyces japonicus (strain yFS275 / FY16936) (Fission yeast)	ascomycota	ingroup	pfh1	310	517	807	208
C4R0P2_Komagataella	C4R0P2	644223	Komagataella phaffii (strain GS115 / ATCC 20864) (Yeast) (Pichia pastoris)	ascomycota	ingroup	PIF1	232	436	797	205
G0V5V7_Naumovozyma	G0V5V7	27288	Naumovozyma castellii (Yeast) (Saccharomyces castellii)	ascomycota	ingroup	NCAS0A02870	278	484	870	207
G0WAI2_Naumovozyma	G0WAI2	1071378	Naumovozyma dairenensis (strain ATCC 10597 / BCRC 20456 / CBS 421 / NBRC 0211 / NRRL Y-12639) (Saccharomyces dairenensis)	ascomycota	ingroup	NDAI0D04800	276	482	854	207
G8BK92_Candida	G8BK92	578454	Candida parapsilosis (strain CDC 317 / ATCC MYA-4646) (Yeast) (Monilia parapsilosis)	ascomycota	ingroup	PIF1	282	495	797	214
G8BQC5_Tetrapisispora	G8BQC5	1071381	Tetrapisispora phaffii (strain ATCC 24235 / CBS 4417 / NBRC 1672 / NRRL Y-8282 / UCD 70-5) (Yeast) (Fabospora phaffii)	ascomycota	ingroup	TPHA0B00500	351	556	948	206
G8JMQ5_Eremothecium	G8JMQ5	931890	Eremothecium cymbalariae (strain CBS 270.75 / DBVPG 7215 / KCTC 17166 / NRRL Y-17582) (Yeast)	ascomycota	ingroup	PIF1	277	483	884	207
