Entry	Entry Name	Protein names	Gene Names	Organism	Organism (ID)	Length	Reviewed	Annotation	AlphaFoldDB	Taxonomic lineage	subphylum	class	order	family	genus
O34748	RECQ_BACSU	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	recQ yocI BSU19220	Bacillus subtilis (strain 168)	224308	591	reviewed	5.0	O34748;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Bacillus (genus), Bacillus subtilis group (no rank), Bacillus subtilis (species), Bacillus subtilis subsp. subtilis (subspecies)		Bacilli	Bacillales	Bacillaceae	Bacillus
P50729	RECS_BACSU	Probable ATP-dependent DNA helicase RecS (EC 5.6.2.4) (Probable DNA 3'-5' helicase RecS) (Recombination protein S)	recS ypbC BSU23020	Bacillus subtilis (strain 168)	224308	496	reviewed	5.0	P50729;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Bacillus (genus), Bacillus subtilis group (no rank), Bacillus subtilis (species), Bacillus subtilis subsp. subtilis (subspecies)		Bacilli	Bacillales	Bacillaceae	Bacillus
P15043	RECQ_ECOLI	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	recQ b3822 JW5855	Escherichia coli (strain K12)	83333	609	reviewed	5.0	P15043;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Escherichia coli (species)		Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
P40724	RECQ_SALTY	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	recQ STM3958 STMD1.32	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	99287	609	reviewed	4.0	P40724;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Salmonella (genus), Salmonella enterica (species), Salmonella enterica I (subspecies), Salmonella typhimurium (no rank)		Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
P73421	RECQ_SYNY3	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	recQ slr1536	Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa)	1111708	478	reviewed	4.0	P73421;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Merismopediaceae (family), Synechocystis (genus), unclassified Synechocystis (no rank), Synechocystis sp. PCC 6803 (species)		Cyanophyceae	Synechococcales	Merismopediaceae	Synechocystis
P71359	RECQ_HAEIN	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	recQ HI_0728	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	71421	619	reviewed	4.0	P71359;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pasteurellales (order), Pasteurellaceae (family), Haemophilus (genus), Haemophilus influenzae (species)		Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
Q9CL21	RECQ_PASMU	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	recQ PM1427	Pasteurella multocida (strain Pm70)	272843	632	reviewed	4.0	Q9CL21;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pasteurellales (order), Pasteurellaceae (family), Pasteurella (genus), Pasteurella multocida (species), Pasteurella multocida subsp. multocida (subspecies)		Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella
A0A011MHL1	A0A011MHL1_9PROT	DNA helicase RecQ (EC 5.6.2.4)	recQ_1 AW08_00610	Candidatus Accumulibacter adjunctus	1454001	610	unreviewed	3.0	A0A011MHL1;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Betaproteobacteria incertae sedis (no rank), Candidatus Accumulibacter (genus)		Betaproteobacteria			Candidatus Accumulibacter
A0A016QVI7	A0A016QVI7_9DEIO	DNA helicase RecQ (EC 5.6.2.4)	recQ1 DEIPH_ctg001orf0030	Deinococcus phoenicis	1476583	743	unreviewed	3.0	A0A016QVI7;	cellular organisms (no rank), Bacteria (domain), Thermotogati (kingdom), Deinococcota (phylum), Deinococci (class), Deinococcales (order), Deinococcaceae (family), Deinococcus (genus)		Deinococci	Deinococcales	Deinococcaceae	Deinococcus
A0A017T6V9	A0A017T6V9_CHOA4	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	CAP_4585	Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2)	1192034	803	unreviewed	3.0	A0A017T6V9;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Myxococcota (phylum), Polyangia (subclass), Polyangiales (order), Polyangiaceae (family), Chondromyces (genus), Chondromyces apiculatus (species)			Polyangiales	Polyangiaceae	Chondromyces
A0A021VSD8	A0A021VSD8_9CELL	DNA helicase RecQ (EC 5.6.2.4)	N866_16095	Actinotalea ferrariae CF5-4	948458	629	unreviewed	3.0	A0A021VSD8;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Micrococcales (order), Cellulomonadaceae (family), Actinotalea (genus), Actinotalea ferrariae (species)		Actinomycetes	Micrococcales	Cellulomonadaceae	Actinotalea
A0A024H6C2	A0A024H6C2_9MICC	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	recQ1 ARTSIC4J27_3276	Pseudarthrobacter siccitolerans	861266	577	unreviewed	3.0	A0A024H6C2;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Micrococcales (order), Micrococcaceae (family), Pseudarthrobacter (genus)		Actinomycetes	Micrococcales	Micrococcaceae	Pseudarthrobacter
A0A059G0K0	A0A059G0K0_9PROT	DNA helicase RecQ (EC 5.6.2.4)	HHI_02520	Hyphomonas hirschiana VP5	1280951	615	unreviewed	3.0	A0A059G0K0;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomonadales (order), Hyphomonadaceae (family), Hyphomonas (genus), Hyphomonas neptunium (species)		Alphaproteobacteria	Hyphomonadales	Hyphomonadaceae	Hyphomonas
A0A059GAZ3	A0A059GAZ3_9PROT	DNA helicase RecQ (EC 5.6.2.4)	HOC_04227	Hyphomonas oceanitis SCH89	1280953	612	unreviewed	3.0	A0A059GAZ3;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomonadales (order), Hyphomonadaceae (family), Hyphomonas (genus), Hyphomonas oceanitis (species)		Alphaproteobacteria	Hyphomonadales	Hyphomonadaceae	Hyphomonas
A0A060NSU0	A0A060NSU0_9BURK	DNA helicase RecQ (EC 5.6.2.4)	SMCB_2167	Serpentinimonas maccroryi	1458426	662	unreviewed	3.0	A0A060NSU0;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Burkholderiales (order), Comamonadaceae (family), Serpentinimonas (genus)		Betaproteobacteria	Burkholderiales	Comamonadaceae	Serpentinimonas
A0A066RWT7	A0A066RWT7_9GAMM	DNA helicase RecQ (EC 5.6.2.4)	EA58_07870	Photobacterium galatheae	1654360	615	unreviewed	3.0	A0A066RWT7;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Vibrionales (order), Vibrionaceae (family), Photobacterium (genus)		Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium
A0A066WZF1	A0A066WZF1_9FLAO	DNA helicase RecQ (EC 5.6.2.4)	FEM21_05730	Flavobacterium seoulense	1492738	703	unreviewed	3.0	A0A066WZF1;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Flavobacteriia (class), Flavobacteriales (order), Flavobacteriaceae (family), Flavobacterium (genus)		Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
A0A068QMZ8	A0A068QMZ8_9GAMM	DNA helicase RecQ (EC 5.6.2.4)	LY16_01340	Xenorhabdus doucetiae	351671	608	unreviewed	3.0		cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Morganellaceae (family), Xenorhabdus (genus)		Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus
A0A068R826	A0A068R826_9GAMM	DNA helicase RecQ (EC 5.6.2.4)	recQ XPG1_3450	Xenorhabdus poinarii G6	1354304	608	unreviewed	3.0	A0A068R826;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Morganellaceae (family), Xenorhabdus (genus), Xenorhabdus poinarii (species)		Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus
A0A068SPC0	A0A068SPC0_NEOGA	DNA helicase RecQ (EC 5.6.2.4)	recQ RG540_CH14520	Neorhizobium galegae bv. orientalis str. HAMBI 540	1028800	619	unreviewed	3.0	A0A068SPC0;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Rhizobiaceae (family), Rhizobium/Agrobacterium group (no rank), Neorhizobium (genus), Neorhizobium galegae (species), Neorhizobium galegae bv. orientalis (no rank)		Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Neorhizobium
A0A069QH61	A0A069QH61_HOYLO	DNA helicase RecQ (EC 5.6.2.4)	HMPREF1991_01798	Hoylesella loescheii DSM 19665 = JCM 12249 = ATCC 15930	1122985	725	unreviewed	3.0	A0A069QH61;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Bacteroidales (order), Prevotellaceae (family), Hoylesella (genus), Hoylesella loescheii (species)		Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella
A0A072NH09	A0A072NH09_9GAMM	DNA helicase RecQ (EC 5.6.2.4)	D777_01049	Marinobacter nitratireducens	1137280	623	unreviewed	3.0	A0A072NH09;	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Marinobacteraceae (family), Marinobacter (genus)		Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter
A0A073CVA4	A0A073CVA4_PLAA1	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)	recQ A19Y_3095	Planktothrix agardhii (strain NIVA-CYA 126/8)	388467	482	unreviewed	3.0	A0A073CVA4;	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Oscillatoriophycideae (subclass), Oscillatoriales (order), Microcoleaceae (family), Planktothrix (genus), Planktothrix agardhii (species)		Cyanophyceae	Oscillatoriales	Microcoleaceae	Planktothrix
