batch,order,job_name,accession,construct,range,full_len,model_len,n_subst,group,organism
1,0,recql4_O94761,O94761,full,1-1208,1208,1208,0,RECQL4-like,Homo sapiens (Human)
1,1,recql4_O94762,O94762,full,1-991,991,991,0,RECQL5-like,Homo sapiens (Human)
1,2,recql4_A0A067C5D1,A0A067C5D1,full,1-1082,1082,1082,0,RECQL4-like,Saprolegnia parasitica (strain CBS 223.65)
1,3,recql4_A0A023B712,A0A023B712,full,1-1138,1138,1138,0,RECQL5-like,Gregarina niphandrodes (Septate eugregarine)
1,4,recql4_A0A075A2A2,A0A075A2A2,full,1-1216,1216,1216,0,RECQL4-like,Opisthorchis viverrini (Southeast Asian liver fluke)
1,5,recql4_A0A058ZFU5,A0A058ZFU5,full,1-760,760,760,0,RECQL5-like,Fonticula alba (Slime mold)
1,6,recql4_A0A0G4IV69,A0A0G4IV69,full,1-1034,1034,1034,0,RECQL4-like,Plasmodiophora brassicae (Clubroot disease agent)
1,7,recql4_A0A059EYE9,A0A059EYE9,full,1-728,728,728,0,RECQL5-like,Anncaliia algerae PRA339
1,8,recql4_A0A0L7LL98,A0A0L7LL98,full,1-1186,1186,1186,0,RECQL4-like,Operophtera brumata (Winter moth) (Phalaena brumata)
1,9,recql4_A0A066WQY1,A0A066WQY1,full,1-801,801,801,0,RECQL5-like,Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951)
1,10,recql4_A0A182QZN3,A0A182QZN3,full,1-2078,2078,2078,0,RECQL4-like,Anopheles farauti
1,11,recql4_A0A067MG16,A0A067MG16,full,1-700,700,700,0,RECQL5-like,Botryobasidium botryosum (strain FD-172 SS1)
1,12,recql4_A0A1S3W2K0,A0A1S3W2K0,full,1-1193,1193,1193,0,RECQL4-like,Erinaceus europaeus (Western European hedgehog)
1,13,recql4_A0A067QGT0,A0A067QGT0,full,1-854,854,854,0,RECQL5-like,Jaapia argillacea MUCL 33604
1,14,recql4_A0A1V9WY99,A0A1V9WY99,full,1-1046,1046,1046,0,RECQL4-like,Tropilaelaps mercedesae
1,15,recql4_A0A067RX24,A0A067RX24,full,1-676,676,676,0,RECQL5-like,Zootermopsis nevadensis (Dampwood termite)
1,16,recql4_A0A1Z5KAS2,A0A1Z5KAS2,full,1-1240,1240,1240,0,RECQL4-like,Fistulifera solaris (Oleaginous diatom)
1,17,recql4_A0A087R2D8,A0A087R2D8,full,1-1007,1007,1007,0,RECQL5-like,Aptenodytes forsteri (Emperor penguin)
1,18,recql4_A0A2U3VZ55,A0A2U3VZ55,full,1-1183,1183,1183,0,RECQL4-like,Odobenus rosmarus divergens (Pacific walrus)
1,19,recql4_A0A087US47,A0A087US47,full,1-921,921,921,0,RECQL5-like,Stegodyphus mimosarum (African social velvet spider)
1,20,recql4_A0A2Y9RS75,A0A2Y9RS75,full,1-1250,1250,1250,0,RECQL4-like,Trichechus manatus latirostris (Florida manatee)
1,21,recql4_A0A091DZ87,A0A091DZ87,full,1-980,980,980,0,RECQL5-like,Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)
1,22,recql4_A0A340XZF4,A0A340XZF4,full,1-1224,1224,1224,0,RECQL4-like,Lipotes vexillifer (Yangtze river dolphin)
1,23,recql4_A0A091HBL4,A0A091HBL4,full,1-1007,1007,1007,0,RECQL5-like,Buceros rhinoceros silvestris
1,24,recql4_A0A433QBW6,A0A433QBW6,full,1-923,923,923,0,RECQL4-like,Jimgerdemannia flammicorona
1,25,recql4_A0A0B1PAH1,A0A0B1PAH1,full,1-469,469,469,0,RECQL5-like,Erysiphe necator (Grape powdery mildew) (Uncinula necator)
1,26,recql4_A0A443RR12,A0A443RR12,full,1-1156,1156,1156,0,RECQL4-like,Dinothrombium tinctorium
1,27,recql4_A0A0C3A231,A0A0C3A231,full,1-848,848,848,0,RECQL5-like,Scleroderma citrinum Foug A
1,28,recql4_A0A443SL42,A0A443SL42,full,1-1191,1191,1191,0,RECQL4-like,Leptotrombidium deliense
1,29,recql4_A0A0G4KDX1,A0A0G4KDX1,full,1-680,680,680,0,RECQL5-like,Verticillium longisporum (Verticillium dahliae var. longisporum)
1,30,recql4_A0A4C1U0J5,A0A4C1U0J5,full,1-954,954,954,0,RECQL4-like,Eumeta variegata (Bagworm moth) (Eumeta japonica)
1,31,recql4_A0A0L0BVC2,A0A0L0BVC2,full,1-372,372,372,0,RECQL5-like,Lucilia cuprina (Green bottle fly) (Australian sheep blowfly)
1,32,recql4_A0A4P9ZYF8,A0A4P9ZYF8,full,1-1193,1193,1193,0,RECQL4-like,Dimargaris cristalligena
1,33,recql4_A0A0L1IV60,A0A0L1IV60,full,1-1218,1218,1218,0,RECQL5-like,Aspergillus nomiae NRRL (strain ATCC 15546 / NRRL 13137 / CBS 260.88 / M93)
1,34,recql4_A0A5N3W323,A0A5N3W323,full,1-1218,1218,1218,0,RECQL4-like,Muntiacus muntjak (Barking deer) (Indian muntjac)
1,35,recql4_A0A0V0R3H2,A0A0V0R3H2,full,1-1090,1090,1090,0,RECQL5-like,Pseudocohnilembus persalinus (Ciliate)
1,36,recql4_A0A5N4CH52,A0A5N4CH52,full,1-1236,1236,1236,0,RECQL4-like,Camelus dromedarius (Dromedary) (Arabian camel)
1,37,recql4_A0A154PG82,A0A154PG82,full,1-979,979,979,0,RECQL5-like,Dufourea novaeangliae (Sweat bee)
