accession,gene,organism,taxid,subphylum,class,order,family,genus,length,reviewed,structure_source,afdb_version,mean_plddt,is_reference_proteome,structure_path,paralog_label
P07271,PIF1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,859,reviewed,AFDB,6,67.19,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-P07271-F1-model_v6.cif,
P38766,RRM3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,723,reviewed,AFDB,6,68.75,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-P38766-F1-model_v6.cif,
Q59RQ0,PIF1,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),237561,Saccharomycotina,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,906,reviewed,AFDB,6,60.41,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-Q59RQ0-F1-model_v6.cif,
Q9UUA2,pfh1,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812,Taphrinomycotina,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,Schizosaccharomyces,805,reviewed,AFDB,6,63.94,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-Q9UUA2-F1-model_v6.cif,
Q5AXT5,pif1,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),227321,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,745,reviewed,AFDB,6,67.25,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-Q5AXT5-F1-model_v6.cif,
A0A2P7YPG7,PIF1,Candidozyma pseudohaemuli,418784,Saccharomycotina,Pichiomycetes,Serinales,Metschnikowiaceae,Candidozyma,787,unreviewed,AFDB,6,65.75,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-A0A2P7YPG7-F1-model_v6.cif,
C4R0P2,PIF1,Komagataella phaffii (strain GS115 / ATCC 20864) (Yeast) (Pichia pastoris),644223,Saccharomycotina,Pichiomycetes,Pichiales,Pichiaceae,Komagataella,797,unreviewed,AFDB,6,64.62,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-C4R0P2-F1-model_v6.cif,
G0V5V7,NCAS0A02870,Naumovozyma castellii (Yeast) (Saccharomyces castellii),27288,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Naumovozyma,870,unreviewed,AFDB,6,61.94,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-G0V5V7-F1-model_v6.cif,
G8BQC5,TPHA0B00500,Tetrapisispora phaffii (strain ATCC 24235 / CBS 4417 / NBRC 1672 / NRRL Y-8282 / UCD 70-5) (Yeast) (Fabospora phaffii),1071381,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Tetrapisispora,948,unreviewed,AFDB,6,60.19,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-G8BQC5-F1-model_v6.cif,
G8BK92,PIF1,Candida parapsilosis (strain CDC 317 / ATCC MYA-4646) (Yeast) (Monilia parapsilosis),578454,Saccharomycotina,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,797,unreviewed,AFDB,6,60.78,True,/Users/spencergray/Desktop/pif1-foldtree/data/structures/afdb/AF-G8BK92-F1-model_v6.cif,
