tip	accession	source	core_plddt
A0A0C7N4Y2_Lachancea	A0A0C7N4Y2	AFDB	88.39
A0A0W4ZHZ4_Pneumocystis	A0A0W4ZHZ4	AFDB	89.8
A0A0W4ZNJ0_Pneumocystis	A0A0W4ZNJ0	AFDB	88.48
A0A1G4K4H6_Lachancea	A0A1G4K4H6	AFDB	88.29
A0A2P7YPG7_Candidozyma	A0A2P7YPG7	AFDB	89.25
A5DHA1_Meyerozyma	A5DHA1	AFDB	88.67
B6K513_Schizosaccharomyces	B6K513	AFDB	89.27
C4R0P2_Komagataella	C4R0P2	AFDB	89.08
G0V5V7_Naumovozyma	G0V5V7	AFDB	87.69
G0WAI2_Naumovozyma	G0WAI2	AFDB	88.54
G8BK92_Candida	G8BK92	AFDB	88.07
G8BQC5_Tetrapisispora	G8BQC5	AFDB	88.06
G8JMQ5_Eremothecium	G8JMQ5	AFDB	88.16
G8ZST6_Torulaspora	G8ZST6	AFDB	88.41
H2AZM3_Kazachstania	H2AZM3	AFDB	88.78
I2H566_Henningerozyma	I2H566	AFDB	89.62
J7S6X7_Huiozyma	J7S6X7	AFDB	87.95
M7P7M8_Pneumocystis	M7P7M8	AFDB	90.03
P07271_Saccharomyces	P07271	AFDB	90.41
P38766_Saccharomyces	P38766	AFDB	87.14
Q59RQ0_Candida	Q59RQ0	AFDB	88.76
Q6BQK7_Debaryomyces	Q6BQK7	AFDB	87.49
Q6FKI9_Nakaseomyces	Q6FKI9	AFDB	88.18
Q9UUA2_Schizosaccharomyces	Q9UUA2	AFDB	89.73
S9PVT1_Schizosaccharomyces	S9PVT1	AFDB	87.74
S9X0K1_Schizosaccharomyces	S9X0K1	AFDB	87.64
W1QEW7_Ogataea	W1QEW7	AFDB	89.85
W6MNR6_Kuraishia	W6MNR6	AFDB	89.11
A0A066XBE3_Colletotrichum	A0A066XBE3	AFDB	88.75
A0A098E1Q1_Fusarium	A0A098E1Q1	AFDB	87.55
A0A0A8L254_Kluyveromyces	A0A0A8L254	AFDB	87.66
A0A0A8L495_Kluyveromyces	A0A0A8L495	AFDB	86.97
A0A0D2HCP1_Cladophialophora	A0A0D2HCP1	AFDB	90.48
A0A0D2IYR0_Rhinocladiella	A0A0D2IYR0	AFDB	88.93
A0A0E9NJD1_Saitoella	A0A0E9NJD1	AFDB	88.01
A0A0F8UK25_Aspergillus	A0A0F8UK25	AFDB	87.38
A0A0G2G6N1_Phaeomoniella	A0A0G2G6N1	AFDB	87.84
A0A0G4N7A9_Verticillium	A0A0G4N7A9	AFDB	87.75
A0A0G4PIW6_Penicillium	A0A0G4PIW6	AFDB	87.29
A0A0X8HVB8_Eremothecium	A0A0X8HVB8	AFDB	88.33
A0A135UEW1_Colletotrichum	A0A135UEW1	AFDB	88.76
A0A162ZNR2_Ascochyta	A0A162ZNR2	AFDB	87.99
A0A166QWJ6_Colletotrichum	A0A166QWJ6	AFDB	88.34
A0A167DT29_Sugiyamaella	A0A167DT29	AFDB	89.29
