Entry	Entry Name	Protein names	Gene Names	Organism	Organism (ID)	Length	Reviewed	Annotation	AlphaFoldDB	Taxonomic lineage	subphylum	class	order	family	genus
A0A0L0HTH8	A0A0L0HTH8_SPIPD	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	PIF1 SPPG_00357	Spizellomyces punctatus (strain DAOM BR117)	645134	642	unreviewed	4.0	A0A0L0HTH8;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Spizellomycetales (order), Spizellomycetaceae (family), Spizellomyces (genus), Spizellomyces punctatus (species)		Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces
A0A507FMG7	A0A507FMG7_9FUNG	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	PIF1 CcCBS67573_g01230	Chytriomyces confervae	246404	672	unreviewed	4.0	A0A507FMG7;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Chytridiales (order), Chytriomycetaceae (family), Chytriomyces (genus)		Chytridiomycetes	Chytridiales	Chytriomycetaceae	Chytriomyces
A0A507E7A0	A0A507E7A0_9FUNG	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	PIF1 PhCBS80983_g02276	Powellomyces hirtus	109895	674	unreviewed	4.0	A0A507E7A0;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Spizellomycetales (order), Powellomycetaceae (family), Powellomyces (genus)		Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Powellomyces
A0ABQ8ESF1	A0ABQ8ESF1_9FUNG	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	PIF1 BASA50_000834	Batrachochytrium salamandrivorans	1357716	778	unreviewed	4.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Rhizophydiales (order), Rhizophydiales incertae sedis (no rank), Batrachochytrium (genus)		Chytridiomycetes	Rhizophydiales		Batrachochytrium
A0A507D8P3	A0A507D8P3_9FUNG	ATP-dependent DNA helicase (EC 5.6.2.3)	SeMB42_g03156	Synchytrium endobioticum	286115	577	unreviewed	3.0	A0A507D8P3;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Synchytriales (order), Synchytriaceae (family), Synchytrium (genus)		Chytridiomycetes	Synchytriales	Synchytriaceae	Synchytrium
A0A507FPN2	A0A507FPN2_9FUNG	ATP-dependent DNA helicase (EC 5.6.2.3)	CcCBS67573_g00468	Chytriomyces confervae	246404	1727	unreviewed	3.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Chytridiales (order), Chytriomycetaceae (family), Chytriomyces (genus)		Chytridiomycetes	Chytridiales	Chytriomycetaceae	Chytriomyces
A0A1Y2BG90	A0A1Y2BG90_9FUNG	ATP-dependent DNA helicase (EC 5.6.2.3)	BCR33DRAFT_647172	Rhizoclosmatium globosum	329046	93	unreviewed	2.0	A0A1Y2BG90;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Chytridiales (order), Chytriomycetaceae (family), Rhizoclosmatium (genus)		Chytridiomycetes	Chytridiales	Chytriomycetaceae	Rhizoclosmatium
A0A1Y2CSM1	A0A1Y2CSM1_9FUNG	ATP-dependent DNA helicase (EC 5.6.2.3)	BCR33DRAFT_557874	Rhizoclosmatium globosum	329046	285	unreviewed	2.0	A0A1Y2CSM1;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Chytridiales (order), Chytriomycetaceae (family), Rhizoclosmatium (genus)		Chytridiomycetes	Chytridiales	Chytriomycetaceae	Rhizoclosmatium
A0A4P9W389	A0A4P9W389_9FUNG	ATP-dependent DNA helicase (EC 5.6.2.3)	BDK51DRAFT_35160	Blyttiomyces helicus	388810	267	unreviewed	2.0	A0A4P9W389;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Chytridiomycetes incertae sedis (no rank), Blyttiomyces (genus)		Chytridiomycetes			Blyttiomyces
A0A4V1IRD4	A0A4V1IRD4_9FUNG	ATP-dependent DNA helicase (EC 5.6.2.3)	BDK51DRAFT_37981	Blyttiomyces helicus	388810	330	unreviewed	2.0	A0A4V1IRD4;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Chytridiomycetes incertae sedis (no rank), Blyttiomyces (genus)		Chytridiomycetes			Blyttiomyces
