Entry	Entry Name	Protein names	Gene Names	Organism	Organism (ID)	Length	Reviewed	Annotation	AlphaFoldDB	Taxonomic lineage	subphylum	class	order	family	genus
A0A1G9ASW6	A0A1G9ASW6_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	SAMN04488571_10719	Methanoculleus thermophilus	2200	424	unreviewed	3.0	A0A1G9ASW6;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanomicrobiales (order), Methanomicrobiaceae (family), Methanoculleus (genus)		Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus
A0A483CWB2	A0A483CWB2_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	CUJ86_01390	Methanofollis fontis	2052832	519	unreviewed	3.0	A0A483CWB2;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanomicrobiales (order), Methanomicrobiaceae (family), Methanofollis (genus)		Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanofollis
A0A8E7EH41	A0A8E7EH41_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	recQ KHC33_16535	Methanospirillum purgamenti	2834276	604	unreviewed	3.0	A0A8E7EH41;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanomicrobiales (order), Methanospirillaceae (family), Methanospirillum (genus)		Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum
A0A9X9S6F3	A0A9X9S6F3_METOG	DNA 3'-5' helicase (EC 5.6.2.4)	recQ OU421_06595	Methanogenium organophilum	2199	696	unreviewed	3.0	A0A9X9S6F3;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanomicrobiales (order), Methanomicrobiaceae (family), Methanogenium (genus)		Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanogenium
A0AA96VMN6	A0AA96VMN6_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	dbpA_2 MmiEs2_11500	Methanimicrococcus stummii	3028294	844	unreviewed	3.0	A0AA96VMN6;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanosarcinales (order), Methanosarcinaceae (family), Methanimicrococcus (genus)		Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanimicrococcus
A0AA97A2R4	A0AA97A2R4_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	dbpA_2 MmiHf6_16540	Methanimicrococcus hongohii	3028295	857	unreviewed	3.0	A0AA97A2R4;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanosarcinales (order), Methanosarcinaceae (family), Methanimicrococcus (genus)		Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanimicrococcus
A0AAE4MJ75	A0AAE4MJ75_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	dbpA_1 MsAg5_08240	Methanolapillus africanus	3028297	855	unreviewed	3.0	A0AAE4MJ75;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanosarcinales (order), Methanosarcinaceae (family), Methanolapillus (genus)		Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanolapillus
A0AAX3EBQ6	A0AAX3EBQ6_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	OH143_00825	Methanoculleus submarinus	204050	419	unreviewed	3.0	A0AAX3EBQ6;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanomicrobiales (order), Methanomicrobiaceae (family), Methanoculleus (genus)		Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus
A0ABU3X1W9	A0ABU3X1W9_9EURY	DNA 3'-5' helicase (EC 5.6.2.4)	recQ F8E02_08610	Methanoculleus caldifontis	2651577	604	unreviewed	3.0		cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanomicrobiales (order), Methanomicrobiaceae (family), Methanoculleus (genus)		Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus
A3CVG8	A3CVG8_METMJ	DNA 3'-5' helicase (EC 5.6.2.4)	Memar_1439	Methanoculleus marisnigri (strain ATCC 35101 / DSM 1498 / JR1)	368407	605	unreviewed	3.0	A3CVG8;	cellular organisms (no rank), Archaea (domain), Methanobacteriati (kingdom), Methanobacteriota (phylum), Stenosarchaea group (clade), Methanomicrobia (class), Methanomicrobiales (order), Methanomicrobiaceae (family), Methanoculleus (genus), Methanoculleus marisnigri (species)		Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus
