batch,order,job_name,accession,construct,range,full_len,model_len,n_subst,group,organism
1,0,recq_Q14191,Q14191,full,1-1432,1432,1432,0,euk,Homo sapiens (Human)
1,1,recq_P54132,P54132,full,1-1417,1417,1417,0,euk,Homo sapiens (Human)
1,2,recq_P46063,P46063,full,1-649,649,649,0,euk,Homo sapiens (Human)
1,3,recq_P35187,P35187,full,1-1447,1447,1447,0,euk,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
1,4,recq_P15043,P15043,full,1-609,609,609,0,bac,Escherichia coli (strain K12)
1,5,recq_A0A0E3LGE3,A0A0E3LGE3,full,1-966,966,966,0,arc,Methanosarcina vacuolata Z-761
1,6,recq_A0A010ZVP2,A0A010ZVP2,full,1-611,611,611,0,bac,Cryptosporangium arvum DSM 44712
1,7,recq_A0A022QCX5,A0A022QCX5,full,1-1222,1222,1222,0,euk,Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus)
1,8,recq_A0A166BQL2,A0A166BQL2,full,1-857,857,857,0,arc,Methanobrevibacter filiformis
1,9,recq_A0A011RD86,A0A011RD86,full,1-611,611,611,0,bac,Accumulibacter regalis
1,10,recq_A0A024GB81,A0A024GB81,full,1-890,890,890,0,euk,Albugo candida
1,11,recq_A0A1F2P9B7,A0A1F2P9B7,full,1-896,896,896,0,arc,Candidatus Syntropharchaeum caldarium
1,12,recq_A0A017T6V9,A0A017T6V9,full,1-803,803,803,0,bac,Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2)
1,13,recq_A0A067KV41,A0A067KV41,full,1-1252,1252,1252,0,euk,Jatropha curcas (Barbados nut)
1,14,recq_A0A2V2N7S6,A0A2V2N7S6,full,1-612,612,612,0,arc,Methanospirillum lacunae
1,15,recq_A0A060RBR6,A0A060RBR6,full,1-758,758,758,0,bac,Mucinivorans hirudinis
1,16,recq_A0A068YHG4,A0A068YHG4,full,1-1154,1154,1154,0,euk,Echinococcus multilocularis (Fox tapeworm)
1,17,recq_A0A9E7PMS6,A0A9E7PMS6,full,1-1181,1181,1181,0,arc,Methanoplanus endosymbiosus
1,18,recq_A0A068NYV6,A0A068NYV6,full,1-602,602,602,0,bac,Fimbriimonas ginsengisoli Gsoil 348
1,19,recq_A0A074X4N6,A0A074X4N6,full,1-1271,1271,1271,0,euk,Aureobasidium namibiae CBS 147.97
1,20,recq_A0AAE4MGR3,A0AAE4MGR3,full,1-497,497,497,0,arc,Methanorbis rubei
1,21,recq_A0A073ISA3,A0A073ISA3,full,1-612,612,612,0,bac,Synergistes jonesii
1,22,recq_A0A075AVN4,A0A075AVN4,full,1-763,763,763,0,euk,Rozella allomycis (strain CSF55)
1,23,recq_A0ABD4TGN3,A0ABD4TGN3,full,1-507,507,507,0,arc,Methanocalculus taiwanensis
1,24,recq_A0A074MGJ7,A0A074MGJ7,full,1-737,737,737,0,bac,Tumebacillus flagellatus
1,25,recq_A0A078A6R7,A0A078A6R7,full,1-1226,1226,1226,0,euk,Stylonychia lemnae (Ciliate)
1,26,recq_L0HKE4,L0HKE4,full,1-611,611,611,0,arc,Methanoregula formicica (strain DSM 22288 / NBRC 105244 / SMSP)
1,27,recq_A0A081BLC8,A0A081BLC8,full,1-725,725,725,0,bac,Candidatus Moduliflexus flocculans
1,28,recq_A0A084GA43,A0A084GA43,full,1-1570,1570,1570,0,euk,Pseudallescheria apiosperma (Scedosporium apiospermum)
1,29,recq_Q0W3R8,Q0W3R8,full,1-605,605,605,0,arc,Methanocella arvoryzae (strain DSM 22066 / NBRC 105507 / MRE50)
1,30,recq_A0A081C0H7,A0A081C0H7,full,1-730,730,730,0,bac,Vecturithrix granuli
1,31,recq_A0A084R2J1,A0A084R2J1,full,1-1710,1710,1710,0,euk,Stachybotrys chlorohalonatus (strain IBT 40285)
1,32,recq_A0A084JIT4,A0A084JIT4,full,1-820,820,820,0,bac,Clostridium sulfidigenes
1,33,recq_A0A085M3F6,A0A085M3F6,full,1-1515,1515,1515,0,euk,Trichuris suis (pig whipworm)
1,34,recq_A0A098S861,A0A098S861,full,1-733,733,733,0,bac,Phaeodactylibacter xiamenensis
1,35,recq_A0A091M8S6,A0A091M8S6,full,1-656,656,656,0,euk,Cathartes aura (Turkey vulture) (Vultur aura)
1,36,recq_A0A0B5FQV7,A0A0B5FQV7,full,1-616,616,616,0,bac,Geoalkalibacter subterraneus
1,37,recq_A0A091R820,A0A091R820,full,1-1122,1122,1122,0,euk,Merops nubicus (Northern carmine bee-eater)
1,38,recq_A0A0B7GQE4,A0A0B7GQE4,full,1-734,734,734,0,bac,Treponema phagedenis
1,39,recq_A0A091SV96,A0A091SV96,full,1-1141,1141,1141,0,euk,Pelecanus crispus (Dalmatian pelican)
1,40,recq_A0A0B7MMV0,A0A0B7MMV0,full,1-454,454,454,0,bac,Syntrophaceticus schinkii
1,41,recq_A0A091TS37,A0A091TS37,full,1-1170,1170,1170,0,euk,Phaethon lepturus (White-tailed tropicbird)
1,42,recq_A0A0C5JLA7,A0A0C5JLA7,full,1-628,628,628,0,bac,Rugosibacter aromaticivorans
1,43,recq_A0A091TSY3,A0A091TSY3,full,1-1179,1179,1179,0,euk,Phoenicopterus ruber ruber
1,44,recq_A0A0D2G849,A0A0D2G849,full,1-606,606,606,0,bac,Dethiosulfatarculus sandiegensis
1,45,recq_A0A093GSD6,A0A093GSD6,full,1-1355,1355,1355,0,euk,Tyto alba (Barn owl)
1,46,recq_A0A0D8ZU01,A0A0D8ZU01,full,1-717,717,717,0,bac,Aliterella atlantica CENA595
1,47,recq_A0A093HD69,A0A093HD69,full,1-656,656,656,0,euk,Struthio camelus australis
1,48,recq_A0A0F6W5Y2,A0A0F6W5Y2,full,1-691,691,691,0,bac,Sandaracinus amylolyticus
1,49,recq_A0A093R177,A0A093R177,full,1-1352,1352,1352,0,euk,Phalacrocorax carbo (Great cormorant) (Pelecanus carbo)
1,50,recq_A0A0G3WII3,A0A0G3WII3,full,1-618,618,618,0,bac,Endomicrobium proavitum
1,51,recq_A0A096P7A8,A0A096P7A8,full,1-1140,1140,1140,0,euk,Ostreococcus tauri (Marine green alga)
1,52,recq_A0A0J8J7J7,A0A0J8J7J7,full,1-594,594,594,0,bac,Listeria fleischmannii 1991
1,53,recq_A0A0B2UJH3,A0A0B2UJH3,full,1-737,737,737,0,euk,Ordospora colligata OC4
1,54,recq_A0A0K1S9Z4,A0A0K1S9Z4,full,1-703,703,703,0,bac,Microcystis panniformis FACHB-1757
1,55,recq_A0A0C2INU7,A0A0C2INU7,full,1-1008,1008,1008,0,euk,Thelohanellus kitauei (Myxosporean)
1,56,recq_A0A0K2SM57,A0A0K2SM57,full,1-591,591,591,0,bac,Limnochorda pilosa
1,57,recq_A0A0C2WR98,A0A0C2WR98,full,1-1158,1158,1158,0,euk,Serendipita vermifera MAFF 305830
1,58,recq_A0A0K6IWZ8,A0A0K6IWZ8,full,1-623,623,623,0,bac,Tepidiphilus thermophilus
1,59,recq_A0A0C2XKG1,A0A0C2XKG1,full,1-1043,1043,1043,0,euk,Amanita muscaria (strain Koide BX008)
1,60,recq_A0A0L8V5X6,A0A0L8V5X6,full,1-728,728,728,0,bac,Sunxiuqinia dokdonensis
1,61,recq_A0A0C3BMJ1,A0A0C3BMJ1,full,1-1095,1095,1095,0,euk,Piloderma croceum (strain F 1598)
1,62,recq_A0A0M2R747,A0A0M2R747,full,1-613,613,613,0,bac,Kiloniella litopenaei
1,63,recq_A0A0C3HMF0,A0A0C3HMF0,full,1-1703,1703,1703,0,euk,Oidiodendron maius (strain Zn)
1,64,recq_A0A0M2UXX2,A0A0M2UXX2,full,1-710,710,710,0,bac,Candidatus Brocadia fulgida
1,65,recq_A0A0C9MDY7,A0A0C9MDY7,full,1-1149,1149,1149,0,euk,Mucor ambiguus
1,66,recq_A0A0M7AZ84,A0A0M7AZ84,full,1-629,629,629,0,bac,Roseibium album
1,67,recq_A0A0C9Y159,A0A0C9Y159,full,1-1166,1166,1166,0,euk,Laccaria amethystina LaAM-08-1
1,68,recq_A0A0N1F570,A0A0N1F570,full,1-612,612,612,0,bac,Bosea vaviloviae
