tip_label	accession	taxid	organism	group	role	gene	core_from	core_to	full_len	core_len
O34748_Bacillus	O34748	224308	Bacillus subtilis (strain 168)	bac		recQ	400	512	591	113
P15043_Escherichia	P15043	83333	Escherichia coli (strain K12)	bac		recQ	406	518	609	113
P35187_Saccharomyces	P35187	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	euk		SGS1	1079	1199	1447	121
P46063_Homo	P46063	9606	Homo sapiens (Human)	euk		RECQL	483	597	649	115
P54132_Homo	P54132	9606	Homo sapiens (Human)	euk		BLM	1071	1198	1417	128
Q14191_Homo	Q14191	9606	Homo sapiens (Human)	euk		WRN	953	1065	1432	113
A0A011RD86_CandidatusAccumulibacter	A0A011RD86	522306	Accumulibacter regalis	bac		recQ_2	404	517	611	114
A0A074MGJ7_Tumebacillus	A0A074MGJ7	1157490	Tumebacillus flagellatus	bac		EL26_02200	400	513	737	114
A0A0D8ZU01_Aliterella	A0A0D8ZU01	1618023	Aliterella atlantica CENA595	bac		UH38_09035	404	517	717	114
A0A0E3LGE3_Methanosarcina	A0A0E3LGE3	1434123	Methanosarcina vacuolata Z-761	arc		MSVAZ_0102	448	560	966	113
A0A0P0UTH4_tx1303921	A0A0P0UTH4	1303921	endosymbiont of Bathymodiolus septemdierum str. Myojin knoll	bac		BSEPE_1208	400	511	732	112
A0A0Q4B795_tx1702214	A0A0Q4B795	1702214	Candidatus [Bacteroides] periocalifornicus	bac		AL399_04865	405	518	731	114
A0A0S7BD37_Longilinea	A0A0S7BD37	360412	Longilinea arvoryzae	bac		LARV_00364	501	613	922	113
A0A133XH79_Dechloromonas	A0A133XH79	281362	Dechloromonas denitrificans	bac		AT959_12820	408	521	608	114
A0A166BQL2_Methanobrevibacter	A0A166BQL2	55758	Methanobrevibacter filiformis	arc		recQ	410	525	857	116
A0A1B4XJF1_Sulfuricaulis	A0A1B4XJF1	1620215	Sulfuricaulis limicola	bac		SCL_2658	410	523	628	114
A0A1G5S623_Acidaminobacter	A0A1G5S623	1120920	Acidaminobacter hydrogenoformans DSM 2784	bac		SAMN03080599_03039	448	561	653	114
A0A1H9HQT8_Faunimonas	A0A1H9HQT8	1855383	Faunimonas pinastri	bac		SAMN05216548_106128	420	531	622	112
A0A1U9NH39_Anaerohalosphaera	A0A1U9NH39	1936003	Anaerohalosphaera lusitana	bac		recQ	405	511	609	107
A0A1Z4V0W8_Dolichospermum	A0A1Z4V0W8	1973481	Dolichospermum compactum NIES-806	bac		NIES806_13910	404	517	729	114
A0A2K9NPR6_Bacteriovorax	A0A2K9NPR6	960	Bacteriovorax stolpii (Bdellovibrio stolpii)	bac		recQ	401	514	604	114
A0A2S0P709_Microvirgula	A0A2S0P709	57480	Microvirgula aerodenitrificans	bac		recQ	405	518	608	114
A0A2S8SS64_Abditibacterium	A0A2S8SS64	1960156	Abditibacterium utsteinense	bac		B1R32_110101	535	640	731	106
A0A2T1HPP3_Alsobacter	A0A2T1HPP3	2109933	Alsobacter soli	bac		recQ	405	518	609	114
A0A2V2N7S6_Methanospirillum	A0A2V2N7S6	668570	Methanospirillum lacunae	arc		recQ	400	511	612	112
A0A2W1JHV8_Acaryochloris	A0A2W1JHV8	1764569	Acaryochloris thomasi RCC1774	bac		recQ_1	416	529	741	114
A0A2W2CA50_Aestuariivirga	A0A2W2CA50	2650924	Aestuariivirga litoralis	bac		recQ	417	530	626	114
A0A395JUQ1_Arenicella	A0A395JUQ1	644221	Arenicella xantha	bac		DFR28_101664	399	512	597	114
A0A3N1M5Z4_Allostella	A0A3N1M5Z4	94	Allostella humosa	bac		EDC65_0410	416	528	616	113
A0A3N5BR11_Abyssicoccus	A0A3N5BR11	1817405	Abyssicoccus albus	bac		EDD62_0058	398	508	592	111
A0A3P3VUT0_Aestuariirhabdus	A0A3P3VUT0	2528527	Aestuariirhabdus litorea	bac		recQ	399	512	598	114
A0A410QGW7_Acidilutibacter	A0A410QGW7	2507161	Acidilutibacter cellobiosedens	bac		recQ	400	512	719	113
A0A437QXI0_Hwanghaeella	A0A437QXI0	2500179	Hwanghaeella grinnelliae	bac		recQ	414	527	619	114
A0A4Q0Y4Z7_Halarcobacter	A0A4Q0Y4Z7	877500	Halarcobacter anaerophilus	bac		recQ	399	509	703	111
A0A4Q9VYY3_Siculibacillus	A0A4Q9VYY3	1549641	Siculibacillus lacustris	bac		recQ	433	545	639	113
A0A4S2AJV8_Bacteroides	A0A4S2AJV8	2516960	Bacteroides muris (ex Afrizal et al. 2022)	bac		recQ	405	517	727	113
A0A518EUA6_Saltatorellus	A0A518EUA6	2528018	Saltatorellus ferox	bac		recQ_1	508	620	720	113
A0A560FQL6_Nitrospirillum	A0A560FQL6	28077	Nitrospirillum amazonense	bac		FBZ88_11387	468	580	675	113
A0A562J7T8_Sedimentibacter	A0A562J7T8	130788	Sedimentibacter saalensis	bac		LY60_02521	400	513	727	114
A0A5B8U1Y7_Baekduia	A0A5B8U1Y7	496014	Baekduia soli	bac		FSW04_04990	509	592	602	84
A0A6L9ML60_Aurantimonas	A0A6L9ML60	2047720	Aurantimonas aggregata	bac		recQ	434	547	636	114
A0A6N1VGR7_Oricola	A0A6N1VGR7	2742145	Oricola thermophila	bac		recQ	397	508	602	112
A0A6N8HWU5_Caproicibacter	A0A6N8HWU5	2576756	Caproicibacter fermentans	bac		recQ	399	512	716	114
A0A7G1HSH5_Coprobacter	A0A7G1HSH5	2751153	Coprobacter secundus subsp. similis	bac		Cop2CBH44_10380	404	516	726	113
A0A7L4UPB9_Balneicella	A0A7L4UPB9	1537566	Balneicella halophila	bac		C7377_1301	402	513	723	112
A0A7S7M8R9_Thermophilibacter	A0A7S7M8R9	2779519	Thermophilibacter immobilis	bac		recQ	411	529	628	119
A0A7W9SLX4_Armatimonas	A0A7W9SLX4	685828	Armatimonas rosea	bac		HNQ39_000834	590	696	774	107
A0A8J7PYK5_Acanthopleuribacter	A0A8J7PYK5	442870	Acanthopleuribacter pedis	bac		recQ	405	512	617	108
A0A923SRH9_Zhenpiania	A0A923SRH9	2763644	Zhenpiania hominis	bac		recQ	420	533	618	114
A0A926ZFB8_Aerosakkonema	A0A926ZFB8	2949571	Aerosakkonema funiforme FACHB-1375	bac		recQ	404	517	725	114
A0A934IEY7_Acuticoccus	A0A934IEY7	2796142	Acuticoccus mangrovi	bac		recQ	423	536	625	114
A0A9E7PMS6_Methanoplanus	A0A9E7PMS6	33865	Methanoplanus endosymbiosus	arc		L6E24_03040	399	510	1181	112
A0A9Q3UMW3_Alloalcanivorax	A0A9Q3UMW3	1177169	Alloalcanivorax marinus	bac		recQ	400	513	718	114
A0A9Q7APN6_Aminithiophilus	A0A9Q7APN6	3029084	Aminithiophilus ramosus	bac		recQ	508	621	703	114
A0A9X2L2K1_Gracilimonas	A0A9X2L2K1	2952158	Gracilimonas sediminicola	bac		recQ	411	523	737	113
A0A9X5HDU0_Actinospica	A0A9X5HDU0	304899	Actinospica acidiphila	bac		recQ	413	529	657	117
A0AAF1JXC9_Plastoroseomonas	A0AAF1JXC9	1509237	Plastoroseomonas arctica	bac		recQ	405	519	699	115
A0AAW6TT43_Anaerobaca	A0AAW6TT43	3044600	Anaerobaca lacustris	bac		recQ	401	511	607	111
A0AAW9DKT4_Acidiphilium	A0AAW9DKT4	76588	Acidiphilium acidophilum (Thiobacillus acidophilus)	bac		recQ	415	528	628	114
A0ABT9V3T8_Anoxybacillus	A0ABT9V3T8	1325932	Anoxybacillus andreesenii	bac		J2S07_001825	399	511	705	113
A0ABU2WLQ6_Banduia	A0ABU2WLQ6	3075609	Banduia mediterranea	bac		recQ	412	528	618	117
A0ABX5M3P8_Pokkaliibacter	A0ABX5M3P8	1635171	Pokkaliibacter plantistimulans	bac		WH50_00205	399	510	718	112
B2UMH2_Akkermansia	B2UMH2	349741	Akkermansia muciniphila (strain ATCC BAA-835 / DSM 22959 / JCM 33894 / BCRC 81048 / CCUG 64013 / CIP 107961 / Muc)	bac		Amuc_1710	504	619	716	116
B3ETE7_CandidatusAmoebophilus	B3ETE7	452471	Amoebophilus asiaticus (strain 5a2)	bac		Aasi_1165	403	514	724	112
B8EJJ5_Methylocella	B8EJJ5	395965	Methylocella silvestris (strain DSM 15510 / CIP 108128 / LMG 27833 / NCIMB 13906 / BL2)	bac		Msil_0015	428	535	656	108
F7NEC0_Acetonema	F7NEC0	1009370	Acetonema longum DSM 6540	bac		ALO_01914	401	514	713	114
F9ZMJ3_Acidithiobacillus	F9ZMJ3	990288	Acidithiobacillus caldus (strain SM-1)	bac		Atc_0733	404	517	611	114
H5TEM7_Glaciecola	H5TEM7	1121923	Glaciecola punicea ACAM 611	bac		recQ	407	516	742	110
I4AQK9_Bernardetia	I4AQK9	880071	Bernardetia litoralis (strain ATCC 23117 / DSM 6794 / NBRC 15988 / NCIMB 1366 / Fx l1 / Sio-4) (Flexibacter litoralis)	bac		Fleli_3941	400	514	729	115
K1MF24_Facklamia	K1MF24	883111	Facklamia hominis CCUG 36813	bac		HMPREF9706_00849	391	501	722	111
L0HKE4_Methanoregula	L0HKE4	593750	Methanoregula formicica (strain DSM 22288 / NBRC 105244 / SMSP)	arc		Metfor_2810	399	511	611	113
Q0W3R8_Methanocella	Q0W3R8	351160	Methanocella arvoryzae (strain DSM 22066 / NBRC 105507 / MRE50)	arc		recQ	405	513	605	109
U5D866_Rubidibacter	U5D866	582515	Rubidibacter lacunae KORDI 51-2	bac		KR51_00028100	403	515	805	113
A0A1F2P9B7_CandidatusSyntropharchaeum	A0A1F2P9B7	1838285	Candidatus Syntropharchaeum caldarium	arc		SCAL_001720	641	753	896	113
A0AAE4MGR3_Methanorbis	A0AAE4MGR3	3028300	Methanorbis rubei	arc		recQ	416	497	497	82
A0ABD4TGN3_Methanocalculus	A0ABD4TGN3	106207	Methanocalculus taiwanensis	arc		FTO68_00310	426	504	507	79
A0ACD1DUN2_Aminirod	A0ACD1DUN2	3415223	Aminirod propionatiphilus	bac		recQ	508	621	703	114
A0A010ZVP2_Cryptosporangium	A0A010ZVP2	927661	Cryptosporangium arvum DSM 44712	bac		CryarDRAFT_2366	404	520	611	117
A0A081BLC8_CandidatusModuliflexus	A0A081BLC8	1499966	Candidatus Moduliflexus flocculans	bac		U14_02436	400	511	725	112
A0A081C0H7_CandidatusVecturithrix	A0A081C0H7	1499967	Vecturithrix granuli	bac		U27_05055	399	511	730	113
A0A084JIT4_Clostridium	A0A084JIT4	318464	Clostridium sulfidigenes	bac		IO99_01530	396	509	820	114
A0A0D2G849_Dethiosulfatarculus	A0A0D2G849	1429043	Dethiosulfatarculus sandiegensis	bac		X474_25775	403	516	606	114
A0A0M2UXX2_CandidatusBrocadia	A0A0M2UXX2	380242	Candidatus Brocadia fulgida	bac		BROFUL_01457	395	507	710	113
A0A0N1F570_Bosea	A0A0N1F570	1526658	Bosea vaviloviae	bac		AE618_17695	409	522	612	114
A0A0S2TCF1_CandidatusTenderia	A0A0S2TCF1	1748243	Candidatus Tenderia electrophaga	bac		Tel_06560	410	523	711	114
