Entry	Entry Name	Protein names	Gene Names	Organism	Organism (ID)	Length	Reviewed	Annotation	AlphaFoldDB	Taxonomic lineage	subphylum	class	order	family	genus
I1BKX4	I1BKX4_RHIO9	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	PIF1 RO3G_01558	Rhizopus delemar (strain RA 99-880 / ATCC MYA-4621 / FGSC 9543 / NRRL 43880) (Mucormycosis agent) (Rhizopus arrhizus var. delemar)	246409	618	unreviewed	5.0	I1BKX4;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Mucorineae (suborder), Rhizopodaceae (family), Rhizopus (genus), Rhizopus delemar (species)	Mucoromycotina	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus
A0A168NJR9	A0A168NJR9_ABSGL	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	ABSGL_06389.1 scaffold 8296 PIF1	Absidia glauca (Pin mould)	4829	666	unreviewed	4.0	A0A168NJR9;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Cunninghamellaceae (family), Absidia (genus)	Mucoromycotina	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia
A0A8H7Q426	A0A8H7Q426_9FUNG	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	PIF1 INT44_002286	Umbelopsis vinacea	44442	717	unreviewed	4.0	A0A8H7Q426;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Umbelopsidomycetes (class), Umbelopsidales (order), Umbelopsidaceae (family), Umbelopsis (genus)	Mucoromycotina	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis
A0A8H7V8V8	A0A8H7V8V8_9FUNG	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	PIF1 INT47_001976	Mucor saturninus	64648	1989	unreviewed	4.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Mucorineae (suborder), Mucoraceae (family), Mucor (genus)	Mucoromycotina	Mucoromycetes	Mucorales	Mucoraceae	Mucor
A0A9N9HM59	A0A9N9HM59_9GLOM	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	PIF1 DERYTH_LOCUS12385	Dentiscutata erythropus	1348616	585	unreviewed	4.0	A0A9N9HM59;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Glomeromycotina (subphylum), Glomeromycetes (class), Diversisporales (order), Gigasporaceae (family), Dentiscutata (genus)	Glomeromycotina	Glomeromycetes	Diversisporales	Gigasporaceae	Dentiscutata
A0A9P3HF53	A0A9P3HF53_9FUNG	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	PIF1 EMPS_07540	Entomortierella parvispora	205924	930	unreviewed	4.0	A0A9P3HF53;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mortierellomycotina (subphylum), Mortierellomycetes (class), Mortierellales (order), Mortierellaceae (family), Entomortierella (genus)	Mortierellomycotina	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella
A0A9P3HKJ7	A0A9P3HKJ7_9FUNG	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	PIF1 EMPS_10552	Entomortierella parvispora	205924	1110	unreviewed	4.0	A0A9P3HKJ7;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mortierellomycotina (subphylum), Mortierellomycetes (class), Mortierellales (order), Mortierellaceae (family), Entomortierella (genus)	Mortierellomycotina	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella
A0A9P6YYP4	A0A9P6YYP4_9FUNG	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	PIF1 G6F50_009027	Rhizopus delemar	936053	727	unreviewed	4.0	A0A9P6YYP4;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Mucorineae (suborder), Rhizopodaceae (family), Rhizopus (genus)	Mucoromycotina	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus
A0A0B7N3L9	A0A0B7N3L9_9FUNG	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	PARPA_03734.1 scaffold 9273 PIF1	Parasitella parasitica	35722	741	unreviewed	4.0	A0A0B7N3L9;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Mucorineae (suborder), Mucoraceae (family), Parasitella (genus)	Mucoromycotina	Mucoromycetes	Mucorales	Mucoraceae	Parasitella
A0A8H7QRS8	A0A8H7QRS8_9FUNG	ATP-dependent DNA helicase PIF1 (EC 5.6.2.3) (DNA 5'-3' helicase PIF1) (DNA repair and recombination helicase PIF1)	PIF1 INT46_001609	Mucor plumbeus	97098	741	unreviewed	4.0	A0A8H7QRS8;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Mucorineae (suborder), Mucoraceae (family), Mucor (genus)	Mucoromycotina	Mucoromycetes	Mucorales	Mucoraceae	Mucor
