accession	group	core_from	core_to	subphylum	organism
O94761	RECQL4-like	1	1208	Craniata	Homo sapiens (Human)
O94762	RECQL5-like	1	991	Craniata	Homo sapiens (Human)
A0A1S3W2K0	RECQL4-like	1	1193	Craniata	Erinaceus europaeus (Western European hedgehog)
A0A7I8KFR2	RECQL4-like	1	1022	Streptophytina	Spirodela intermedia (Intermediate duckweed)
A0A0L7LL98	RECQL4-like	1	1186	Hexapoda	Operophtera brumata (Winter moth) (Phalaena brumata)
A0A5N5TNV9	RECQL4-like	1	1090	Crustacea	Armadillidium nasatum
A0A067C5D1	RECQL4-like	1	1082		Saprolegnia parasitica (strain CBS 223.65)
A0A4P9ZYF8	RECQL4-like	1	1193	Kickxellomycotina	Dimargaris cristalligena
A0A1V9WY99	RECQL4-like	1	1046	Chelicerata	Tropilaelaps mercedesae
A0A433QBW6	RECQL4-like	1	923	Mucoromycotina	Jimgerdemannia flammicorona
A0DX38	RECQL4-like	1	971	Intramacronucleata	Paramecium tetraurelia
A0A2U3VZ55	RECQL4-like	1	1183	Craniata	Odobenus rosmarus divergens (Pacific walrus)
A0A835DGJ2	RECQL4-like	1	986	Streptophytina	Tetracentron sinense (Spur-leaf)
A0A182QZN3	RECQL4-like	1	2078	Hexapoda	Anopheles farauti
A0A075A2A2	RECQL4-like	1	1216		Opisthorchis viverrini (Southeast Asian liver fluke)
A0A443RR12	RECQL4-like	1	1156	Chelicerata	Dinothrombium tinctorium
A0A2Y9RS75	RECQL4-like	1	1250	Craniata	Trichechus manatus latirostris (Florida manatee)
A0A8T0GYV6	RECQL4-like	1	1221	Streptophytina	Ceratodon purpureus (Fire moss) (Dicranum purpureum)
A0A4C1U0J5	RECQL4-like	1	954	Hexapoda	Eumeta variegata (Bagworm moth) (Eumeta japonica)
A0A0G4IV69	RECQL4-like	1	1034		Plasmodiophora brassicae (Clubroot disease agent)
A0A443SL42	RECQL4-like	1	1191	Chelicerata	Leptotrombidium deliense
A0A340XZF4	RECQL4-like	1	1224	Craniata	Lipotes vexillifer (Yangtze river dolphin)
A0A8T2QPA7	RECQL4-like	1	1266	Streptophytina	Ceratopteris richardii (Triangle waterfern)
A0A6G0ZIR9	RECQL4-like	1	1219	Hexapoda	Aphis craccivora (Cowpea aphid)
A0A1Z5KAS2	RECQL4-like	1	1240		Fistulifera solaris (Oleaginous diatom)
A0A7R9KXZ8	RECQL4-like	1	1156	Chelicerata	Medioppia subpectinata
A0A5N3W323	RECQL4-like	1	1218	Craniata	Muntiacus muntjak (Barking deer) (Indian muntjac)
A0A9Q0K4D9	RECQL4-like	1	960	Streptophytina	Protea cynaroides
A0A6J1X199	RECQL4-like	1	1277	Hexapoda	Galleria mellonella (Greater wax moth)
A0A6A5CCI3	RECQL4-like	1	877		Naegleria fowleri (Brain eating amoeba)
A0A9Q0M8K9	RECQL4-like	1	1316	Chelicerata	Blomia tropicalis (Mite)
A0A5N4CH52	RECQL4-like	1	1236	Craniata	Camelus dromedarius (Dromedary) (Arabian camel)
A0A9Q1QF30	RECQL4-like	1	938	Streptophytina	Carnegiea gigantea
A0A6L2PQA4	RECQL4-like	1	1264	Hexapoda	Coptotermes formosanus (Formosan subterranean termite)
A0A7J7KRR5	RECQL4-like	1	1192		Bugula neritina (Brown bryozoan) (Sertularia neritina)
A0A6J2DXV9	RECQL4-like	1	1278	Craniata	Zalophus californianus (California sealion)
A0AAW1JV18	RECQL4-like	1	926	Streptophytina	Saponaria officinalis (Common soapwort) (Lychnis saponaria)
A0A8J2QF40	RECQL4-like	1	1279	Hexapoda	Danaus chrysippus (African queen)
A0A8J2WSZ9	RECQL4-like	1	1163		Pelagomonas calceolata
A0A8B7QB23	RECQL4-like	1	1639	Craniata	Hipposideros armiger (Great Himalayan leaf-nosed bat)
A0ACC0YJE4	RECQL4-like	1	952	Streptophytina	Pistacia integerrima
A0A8S1C8Z2	RECQL4-like	1	1263	Hexapoda	Cloeon dipterum
A0A087R2D8	RECQL5-like	1	1007	Craniata	Aptenodytes forsteri (Emperor penguin)
A0A023B712	RECQL5-like	1	1138		Gregarina niphandrodes (Septate eugregarine)
A0A0B1PAH1	RECQL5-like	1	469	Pezizomycotina	Erysiphe necator (Grape powdery mildew) (Uncinula necator)
A0A9N8ZLQ7	RECQL5-like	1	824	Glomeromycotina	Paraglomus occultum
A0A067MG16	RECQL5-like	1	700	Agaricomycotina	Botryobasidium botryosum (strain FD-172 SS1)
A0A067RX24	RECQL5-like	1	676	Hexapoda	Zootermopsis nevadensis (Dampwood termite)
A0A066WQY1	RECQL5-like	1	801	Ustilaginomycotina	Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951)
A0A553NET4	RECQL5-like	1	1172	Crustacea	Tigriopus californicus (Marine copepod)
A0A388KSR1	RECQL5-like	1	993	Streptophytina	Chara braunii (Braun's stonewort)
A0A8K0EVA0	RECQL5-like	1	1024	Cephalochordata	Branchiostoma lanceolatum (Common lancelet) (Amphioxus lanceolatum)
A0A1Y2C5X8	RECQL5-like	1	950	Pucciniomycotina	Leucosporidium creatinivorum
A0A087US47	RECQL5-like	1	921	Chelicerata	Stegodyphus mimosarum (African social velvet spider)
A0A0V0R3H2	RECQL5-like	1	1090	Intramacronucleata	Pseudocohnilembus persalinus (Ciliate)
A0A1S3HUA9	RECQL5-like	1	1017	Linguliformea	Lingula anatina (Brachiopod) (Lingula unguis)
T1JCG8	RECQL5-like	1	1222	Myriapoda	Strigamia maritima (European centipede) (Geophilus maritimus)
A0A1U7LIR4	RECQL5-like	1	932	Taphrinomycotina	Neolecta irregularis (strain DAH-3)
A0A8H7ZPJ8	RECQL5-like	1	482	Olpidiomycotina	Olpidium bornovanus
A0A091DZ87	RECQL5-like	1	980	Craniata	Fukomys damarensis (Damaraland mole rat) (Cryptomys damarensis)
A0A058ZFU5	RECQL5-like	1	760		Fonticula alba (Slime mold)
A0A0G4KDX1	RECQL5-like	1	680	Pezizomycotina	Verticillium longisporum (Verticillium dahliae var. longisporum)
A0A9N9I0A8	RECQL5-like	1	1272	Glomeromycotina	Dentiscutata erythropus
A0A067QGT0	RECQL5-like	1	854	Agaricomycotina	Jaapia argillacea MUCL 33604
A0A0L0BVC2	RECQL5-like	1	372	Hexapoda	Lucilia cuprina (Green bottle fly) (Australian sheep blowfly)
A0A316U1V6	RECQL5-like	1	920	Ustilaginomycotina	Microstroma glucosiphilum
A0A6A4VUN9	RECQL5-like	1	707	Crustacea	Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite)
A0A5N5I2J6	RECQL5-like	1	1193	Streptophytina	Pyrus ussuriensis x Pyrus communis
A0A2X0P6D1	RECQL5-like	1	1025	Pucciniomycotina	Microbotryum silenes-dioicae
